event ID,attraction ID,景點名稱,第幾天,順序,筆記,insert_date,update date
ev00096,att0100,ワイズマート平井店,1,15,這次平井家周遭最照顧我們胃的超市—Y’smart ，瓜說東西比西友便宜一點，因為也是24小時營業，所以打折標籤好像很晚貼，第一天晚上看到鯨魚生魚片不敢亂買，好可惜啊啊啊啊,2026-04-22 17:19:12,2026-04-22 17:19:12
ev00099,att0102,7-Eleven - Edogawa Hirai 4,1,16,採買明天的早餐，還買了消除疲勞跟消水腫的檸檬飲，好酸…,2026-04-22 17:39:13,2026-04-22 17:39:13
ev00100,att0165,平井家民宿,1,17,,2026-04-22 17:39:31,2026-04-22 17:39:31
ev00101,att0238,這裡紀錄今天的綜合心情,1,18,第一天到日本，很激動很興奮很不真實，好難想像我真的踏上日本國土了；但是紅眼班機和前面累積的疲勞，加上新環境的不適應、語言不通，我覺得好挫折，午餐很餓但是不想吃，因為不想跟店員講話…希望明天睡起來會好一點，每次旅遊都是這樣的…,2026-04-23 9:26:36,2026-04-23 9:26:36
ev00024,att0166,今天的主題是,2,1,第二天主題：一日雙塔,2026-04-10 21:56:14,2026-04-10 21:56:14
ev00055,att0151,淺草,2,2,耶嘿～又順利搭車來了,2026-04-17 16:10:11,2026-04-17 16:10:11
ev00056,att0152,淺草寺 雷門,2,3,超～～～多人在拍照的,2026-04-17 16:10:11,2026-04-17 16:10:11
ev00057,att0037,狸貓商店街,2,4,"冷門景點，只有我們在摸狸貓
有11隻狸貓像，每隻都代表不同的祝福，然後肚子都被摸到亮亮的",2026-04-17 16:10:11,2026-04-17 16:10:11
ev00069,att0218,鳴門鯛燒本舖 淺草新仲見世通店,2,5,"紅豆餡很好吃，豆香很足又不會太甜
後來發現到處都有它的分店",2026-04-18 15:09:16,2026-04-18 15:09:16
ev00058,att0042,Sensō-ji Jizo,2,6,小小的地藏廟，本來以為是要在這裡洗錢，但沒有看到地方,2026-04-18 14:57:35,2026-04-18 14:57:35
ev00059,att0012,淺草寺,2,7,"超級多人，一開始很執著要換到5元的零錢，但商店只給兩個，應該是超多觀光客都會來換，排隊去拜拜的時候風一吹，所有香爐的煙都飄過來，省了手動撥煙的流程🤣

淺草寺抽籤，我問旅程抽到大吉！籤上顯示我們應該再多一點計劃、掌握主控權，就會更順利～

淺草寺的御朱印手寫排隊要等超久欸，3-40人在排隊，排到以後還要等叫號，超久的，我直接飄去買書置跟御朱印帳，不用排隊～",2026-04-18 14:57:35,2026-04-18 14:57:35
ev00060,att0011,淺草神社,2,8,本來以為也會盛況空前，但是蠻沒有人的，人都擠在淺草寺了,2026-04-18 14:57:35,2026-04-18 14:57:35
ev00061,att0153,仲見世商店街,2,9,超級多人的商店街，好多外國人在買筷子，筷子超貴欸；有去看騙錢的生日號碼護手霜，味道不喜歡，淘汰；有很多名產小吃可以買，但是馬上要吃午餐了，先跳過～,2026-04-18 14:57:35,2026-04-18 14:57:35
ev00062,att0204,一蘭 淺草店,2,10,"排隊排了半小時吧，也是很多人，第一次用點餐機，不理解為什麼要出一堆小票，一次印出來不好嗎🤔

拉麵蠻好吃的，有預期會很鹹所以吃起來還好，整趟旅程只有一蘭拉麵有看到細的青蔥，加點一份蔥一份叉燒一份海苔，蔥完全沒有辛辣味，好好吃

本來想說湯蠻鹹的不用喝完，但發現碗底有字，google發現是感謝客人把湯喝完，很開心，馬上被情勒喝完，拍張紀念照",2026-04-18 14:57:35,2026-04-18 14:57:35
ev00063,att0014,隅田公園 (淺草側),2,11,沿著隅田川走，一邊欣賞晴空塔邊拍照，安靜的很舒服；非常驚訝的是，隅田川裡有海月水母欸！水母捏！一開始以為是塑膠袋，一直飄來真的是水母，後來google發現夏天隅田川遇到海流對的時候就會有很多水母飄進來，好驚訝～,2026-04-18 14:57:35,2026-04-18 14:57:35
ev00064,att0013,東京晴空塔,2,12,遠看很漂亮，因為不想去塔上面被削一層錢包所以沒登上去～,2026-04-18 14:59:14,2026-04-18 14:59:14
ev00065,att0201,Fashion Center Shimamura Asakusa ROX · 3G shop,2,13,日本思夢樂真是省錢天堂，買了一堆超便宜的衣服，困了兩個多小時，瓜還覺得不夠逛咧,2026-04-18 15:00:26,2026-04-18 15:00:26
ev00066,att0016,東京鐵塔,2,14,專程搭車去看的東京鐵塔，晚上看很漂亮，也是很不真實的景點，很難想像自己站在東京鐵塔下～,2026-04-18 15:02:09,2026-04-18 15:02:09
ev00067,att0100,ワイズマート平井店,2,15,,2026-04-18 15:03:21,2026-04-18 15:03:21
ev00068,att0099,Lawson Hirai Ekimae Shop,2,16,,2026-04-18 15:03:21,2026-04-18 15:03:21
ev00030,att0168,東京站丸之內北口2號,3,1,"怕找不到集合點在東京車站迷路遲到，我們提早出門，結果很順利，40分鐘前就到集合點了...

這次做的是小巴，導遊是小胡，跟司機王師傅，兩位都是中國人；小胡看起來是在日本生活不易的i人，偶爾會閉眼睛拼命想稿，還一直叮嚀其他中國人要有素質，不可以遲到、不要亂丟垃圾，超級好笑又不敢笑出來",2026-04-12 19:29:29,2026-04-12 19:29:29
ev00031,att0167,山中湖村,3,2,"到山中湖邊下車，發現停車場邊整排的櫻花都還盛開著，好漂亮啊，沒想到來日笨還有機會看到櫻花，天氣又超好，拍了櫻花家富士山的合照，超開心

因為時間的關係，我們沒有餵天鵝，但是看別人餵，加上湖裡有其他小水鴨，好可愛；拍了一些有湖面的富士山照，準備下一站～",2026-04-12 19:29:29,2026-04-12 19:29:29
ev00032,att0159,忍野八海,3,3,"小胡說忍野八海要搶停車位，所以我們提早就去了忍野八海，因為時間還早，也不太餓，我們先去免稅店大採購富士山伴手禮，各種富山造型的禮盒，有夠可愛，無法忍住不買耶～

隨後吃了一些小吃，像是醬油團子、艾草團子、小章魚串，東西熱騰騰拿在手上，阿姆阿姆就吃掉了，瓜說他要拍照都來不及，嘿嘿",2026-04-12 19:29:29,2026-04-12 19:29:29
ev00034,att0001,羅森便利商店 富士河口湖町公所前店,3,4,"傳說中的河口湖羅森啊，其實我沿路上看到很多家羅森，背後都看得到富士山呀

拍完照瓜去買午餐，我到處亂逛看到富士山湯包，買回去泡澡 驚為天人，不知道爲什麼，明明一樣的水溫，泡富士山的湯很快就出汗了，但是他的顏色是色素鮮豔的史迪奇藍，蠻怪的",2026-04-12 19:29:29,2026-04-12 19:29:29
ev00033,att0157,大石公園,3,5,大石公園大家都跑去排霜淇淋，我們沒有想吃，所以在湖邊各種拍照；湖邊刻意中了很多鮮豔的小花，各種顏色的鬱金香搭配背景富士山很漂亮；瓜一直在跟家裡通話，希望李爸住院一切都安好，早點恢復健康,2026-04-12 19:29:29,2026-04-12 19:29:29
ev00035,att0005,新倉山淺間公園,3,6,"最後一個景點，也是停留最久的景點，明信片夢幻景色富士山家五重塔就是這！
我們跟著小胡走了很遠的路，接著爬了很陡的階梯、選擇往觀景台殺上去，運起好的是觀景台排隊只需要5分鐘；

結果一上觀景台，超多人搶著要挨照的，又有限制時間五分鐘，瓜一開始臉超臭，好險後來有空出位子，還是拍了不少照片；這一切太突然又慌亂了，可惜沒靜靜的欣賞富士山和忠靈塔，下次再來吧～

在山腳下買了一盒靜岡的草莓，舟車勞頓後他爛掉了，但還是甜甜的，我想他健康的時候應該蠻好吃的",2026-04-12 19:29:29,2026-04-12 19:29:29
ev00102,att0003,富士吉田懷舊商店街,3,7,"這是沒想到的意外景點，我們一直以為不會去日川時計店，沒想到小胡說走去淺間公園時先不要拍照，回來再拍，原來會經過啊～～～
但是從山上下來我們都累了，帽子裡的瀏海也濕了，所以隨便拍個背影，就閃了～",2026-04-23 14:09:49,2026-04-23 14:09:49
ev00046,att0183,黑毛和牛壽喜燒 日本橋一里,3,8,"瓜很期待的日式壽喜燒，廣受中國和台灣旅客好評，主打CP值很高，我們晚上7點到，排隊排了一個半小時，超級累！！！過程中我想過要不要換備案，但瓜評估後決定繼續等，吃到的時候是好吃，但是一個半小時的疲累把好吃覆蓋掉了不少，也讓我知道，我大概只能接受排個半小時的隊吧～

有個很好笑的故事，入座時店員小姐很熟練的過來用英文問我們要哪個語言的菜單，然後接著問：where are you come from? 瓜應該是要回答第一題，但又搭到第二題，所以瓜說：China，我在旁邊真的是抖了一下，心裡笑出來，是要講chinese，變成china，難道是被小胡影響嗎，小胡今天大外宣做得真不錯，哈哈哈哈哈",2026-04-13 20:38:31,2026-04-13 20:38:31
ev00026,att0166,今天的主題是,4,1,第四天主題：川越小江戶,2026-04-10 21:56:35,2026-04-10 21:56:35
ev00080,att0221,川越市,4,2,,2026-04-19 21:14:08,2026-04-19 21:14:08
ev00075,att0006,鰻魚飯老店 小川菊,4,3,一早到了川越，我們先走了去小川菊抽號碼牌，還不到11點的時間，已經抽到44號了耶，超誇張的～,2026-04-19 7:06:31,2026-04-19 7:06:31
ev00052,att0187,Chiikawa Mogumogu Hompo Kawagoe,4,4,"抽到鰻魚飯號碼牌，等待的時間我們去採買紅衣的生日禮包，真不虧是知名IP，東西也是不便宜耶

我猜因為川越的讀音是Kawakoe，跟吉依卡哇的卡哇諧音，所以才開在這裡的吧？

不小心買了一個超大的袋子，結果整路都用這包在裝各式東西，看起來活像個吉依卡哇狂粉來掃貨，但我其實不認識這些角色啊哈哈",2026-04-13 21:31:36,2026-04-13 21:31:36
ev00073,att0115,菓子屋横丁,4,5,這條我們沒有很深入的晃，主要都在吉依卡哇店裡血拼,2026-04-19 5:57:24,2026-04-19 5:57:24
ev00076,att0119,川越冰川神社,4,6,"從一開始搜集景點時就常常提到的冰川神社，一去到現場看到很多滿月的小寶寶，好像是有神明祝福儀式，到處都是宏亮的哭聲

參拜完、寫完御朱印，又買了一本漂亮的御朱印帳，準備去抽籤時後面響起神樂，神官領著大隊人馬走進神社裡，看起來是在舉行神前婚禮，場面很莊嚴肅穆

再來是冰川神社有名的釣魚籤，我抽了一個結緣籤跟一個御神籤，兩個解籤結果都很好，用釣魚抽籤的體驗真的很酷；籤抽完去放人形，把人形紙在身上塗抹，象徵把身體的病痛都轉移給人形，再放到水裡讓它漂流、化掉，很有儀式感呢",2026-04-19 7:06:31,2026-04-19 7:06:31
ev00078,att0006,鰻魚飯老店 小川菊,4,7,"冰川神社結束，終於輪到我們入座，店員英文很流利，我們點了中尺寸的鰻魚飯，還有一上菜單我就激動一直指指指的“炸泥鰍”，好興奮啊，但店內非常平靜，是很傳統老店的氛圍；
泥鰍先上桌，酥酥的加上有調味的麵衣很好吃，沾上一點檸檬汁更是不同的風味，好喜歡吃怪東西啊～～～
等了很久，主菜鰻魚飯上桌，是一盒有蓋子的蒲燒鰻魚飯，肉質很細，搭配調味剛好的醬汁，非常下飯，旁邊搭的醬菜太鹹了不喜歡，旁邊有一碗鰻魚肝清湯，解膩又清爽，很好喝～
瓜整趟看起來很平靜，後來才知道是店員一直看她，礙於面子她無法展現鰻魚飯有多好吃的表演，真是可惜",2026-04-19 21:02:25,2026-04-19 21:02:25
ev00071,att0116,大正浪漫夢通,4,8,寬寬的商店街，半空中掛著一大堆鯉魚旗，兩側很多店家，有逛一兩家賣衣服的，花花襯衫都不貴耶，而且超漂亮的，但是看起來是很傳統的店，不知道可不可以試穿，所以就沒買了～,2026-04-19 5:52:56,2026-04-19 5:52:56
ev00074,att0118,川越 熊野神社,4,9,"本來沒有太大的期待，走進去發現是很有主題感的神社，神色主祭的神明是八咫鳥，外型很像烏鴉，有三隻腳，做成很可愛的公仔；神社參拜後我買了御朱印跟御守，八咫鳥的御守很特別，肚子是中空的，可以把底部封起來的紙撕開，裡面有籤；然後買得時候有附兩張小紙，紅框框的只可以寫上心願，再裝進八咫鳥的肚子裡，等你的願望實現後，在另一張綠框框的紙寫下對神明感謝的話，也放進肚子裡，若有機會再回到熊野神社，就把這個八咫鳥御守還回去，若再也不會回去的話，就留在身邊當作吉祥物，很有意義的紀念品呢

還有啊，熊野神社裡也有供奉嚴島神社，所以我們參拜後在旁邊的池子洗錢，真有趣～",2026-04-19 5:58:00,2026-04-19 5:58:00
ev00077,att0219,銀時,4,10,姊著我們去吃瓜想吃的巴菲，店裡只有中年型男老闆一個人，而且他英文不太好，一進店要我們選巴菲，卡了一陣子；後來我們點了水果巴菲，上桌看起來是很繽紛漂亮，內容是各種水果，加上一點鮮奶油跟香草冰淇淋，吃完超飽足，但是...跟想像中的芭菲有點不同呢,2026-04-19 21:01:50,2026-04-19 21:01:50
ev00050,att0114,小江戶川越一番街商店街 藏造老屋街道,4,11,川越的經典建築：藏造老街，當時為了防或蓋出來的建築群，老街上超多小店，有賣各種地瓜製品、名產、紀念品...御朱印帳都超美，趕快把手綁起來！！！,2026-04-13 21:31:13,2026-04-13 21:31:13
ev00054,att0185,龜屋榮泉,4,12,突然想到再買點伴手禮，走進有名的果子老店，買了各種地瓜小點、羊羹、仙貝，好好買呀～～,2026-04-13 21:31:36,2026-04-13 21:31:36
ev00051,att0188,時之鐘,4,13,這次沒有特別對時間，沒看到時之鐘本人發出聲音,2026-04-13 21:31:36,2026-04-13 21:31:36
ev00079,att0220,藥師神社,4,14,離開川越前走來看時之鐘，發現下方通道走進去是一間藥師神社，雖然沒有大神社有御朱印跟授予所，安安靜靜的參拜、許下身體健康的祈願，也讓人很平靜安心,2026-04-19 21:13:26,2026-04-19 21:13:26
ev00053,att0186,番薯甜點 菓匠右門,4,15,"店員在路邊擺小攤車現蒸現賣，到手的時候溫溫熱熱的，差點又阿姆阿姆吃掉了

外面包裹著糯米味濃厚的粉製外皮，裡面包了一半紅豆泥＋一半地瓜，不會太甜，很好吃耶

這次點餐試著講日文：一個，店員聽得懂耶，開心",2026-04-13 21:31:36,2026-04-13 21:31:36
ev00081,att0221,川越市,4,16,,2026-04-19 21:14:27,2026-04-19 21:14:27
ev00082,att0207,Seria SEIYU Hirai Shop,4,17,超好買的百元商店，各種小東西東買西買，我還選了一條彩色逗貓棒要送美妙妙跟雷雷，希望他們的生活也變得很繽紛～,2026-04-19 21:16:43,2026-04-19 21:16:43
ev00083,att0100,ワイズマート平井店,4,18,,2026-04-19 21:17:22,2026-04-19 21:17:22
ev00084,att0097,Comodi IIDA Hirai,4,19,,2026-04-19 21:17:22,2026-04-19 21:17:22
ev00085,att0165,平井家民宿,4,20,,2026-04-19 21:17:22,2026-04-19 21:17:22
ev00027,att0166,今天的主題是,5,1,第五天主題：新宿澀谷現代日本,2026-04-10 21:56:45,2026-04-10 21:56:45
ev00086,att0022,明治神宮,5,2,"一早嘗試看看尖峰時間的電車，從平井是上得了，但是超爆多人耶，瓜說擠到喘不過氣咧；搭著車一大早殺到原宿，先從lawson買了一堆早餐，去代代木公園野餐～
早餐吃飽，從明治神宮南參道走進去，看到超大鳥居，檜木是來自台灣耶，同鄉；也有去酒樽牆拍照，在明治神宮內走路散步非常安靜平和，很難想像這裡是澀谷正中心，走到本殿後，更是肅靜，參拜天皇和皇太后是不可以發出聲音的，彰顯明治神宮在日本人心中的重要地位呢；參拜後買了御朱印跟限定的木鈴，一人只能買一個耶，而且真的有木頭味，很香；然後我們在旁邊抽了大御心，大御心不像神社的籤，他是詩歌，藉由詩歌的意象帶給你氛圍，不是要預測吉凶的",2026-04-21 8:35:49,2026-04-21 8:35:49
ev00091,att0230,唐吉訶德 新宿東南口店,5,3,"明治神宮結束後往新宿步行，瓜在途中說他的腳水泡好像破了，很痛，慘慘慘

新宿購物第一站來Donki補買瓜的猩猩之握，效率很高，咻咻咻就買好了",2026-04-21 8:37:09,2026-04-21 8:37:09
ev00093,att0227,OS Drug Shinjuku,5,4,又來OS補貨，這家OS世紀小欸，有夠擁擠,2026-04-21 8:37:09,2026-04-21 8:37:09
ev00103,att0235,東京迪士尼旗艦店,5,5,在對街OS就聽得到他的音樂聲，走進去逛逛，哇～好貴，我的錢包level還沒到這裡...,2026-04-26 7:51:08,2026-04-26 7:51:08
ev00087,att0222,利久牛舌 LUMINE EST新宿店,5,6,"午餐走回車站周邊，吃超思暮想的牛舌，牛舌到底有多好吃呢？

超！級！好！吃！

跟豬舌頭完全是不同檔次欸，牛舌吃起來也會脆，但是更嫩，入口帶有煎過的牛肉香氣，微鹹再配上白飯～～～好好吃喔喔喔喔喔喔喔喔喔喔ㄛ

餐點附上的牛肉清湯也很香，清淡的牛骨為加上洋蔥絲，很解膩；另外是我的套餐有加點小的燉牛舌，這倒是不太驚艷，燉熟的牛舌吃起來很像纖維特別細緻的牛肉，一開始入口想說是不是點錯了呢",2026-04-21 8:35:49,2026-04-21 8:35:49
ev00104,att0236,LUMINE EST新宿,5,7,牛舍吃完逛一下百貨公司，好多各式的服飾店，但是風格跟我微不搭，衣服很可愛，店員也太可愛了，卻生生的我只在店外看，就沒進去了～,2026-04-26 7:51:08,2026-04-26 7:51:08
ev00092,att0229,3COINSstation Shinjuku Station south exit shop,5,8,俗賣的東西才符合我們的戰場，3coins買了各種方便收到的包包、小道具，開開心心～～瓜買指甲油猶豫半天，等他的時候我去把整層樓都逛完了呢,2026-04-21 8:37:09,2026-04-21 8:37:09
ev00105,att0239,Victoria Shinjuku Store,5,9,幫瓜弟看的運動用品店，款式很多，但瓜說沒有很便宜，只比台灣便宜一百塊，所以不需要買了～我們有逛兩家店，但是另一家我不知道叫什麼名字～～～,2026-04-26 7:52:36,2026-04-26 7:52:36
ev00089,att0233,無印良品 LUMINE新宿店,5,10,無印兩品的部分，因為累了，所以隨便速速採買，我們去得也不是我俵的這家店，我們去的是分開兩棟的無印良品，一棟賣各種雜貨，一棟賣衣服，可惜阿嬤的XXL內褲塔寫只在線上販賣，本來想批貨回去的呀呀呀,2026-04-21 8:37:09,2026-04-21 8:37:09
ev00088,att0191,世界堂 新宿本店,5,11,蠻期待的世界堂文具店，結果沒想像中大爆買，裡面賣的多是日常文具，筆類蠻多台灣有的品牌，比較在地人客群一點，不會特別放觀光客有興趣的酷東西，樓上好幾層都是美術項居多，我已經很久沒畫畫了，這些我用不到呀～～,2026-04-21 8:35:49,2026-04-21 8:35:49
ev00090,att0231,UNIQLO Shinjuku South-East Entrance Flags Store,5,12,uniqulo的部分就是把內衣批完～,2026-04-21 8:37:09,2026-04-21 8:37:09
ev00106,att0106,UseLet Hirai,5,13,早早回家，逛一下平井商店街，這家二手商店超級便宜耶，但是尺寸都不合我，殘念～,2026-04-26 8:19:35,2026-04-26 8:19:35
ev00107,att0010,平井親和会 商店街振興組合,5,14,逛著逛著去每天都經過的包包店，終於買到上班包包了～結果回台灣一看，我買的價錢折合台幣大約八百多，但代購要兩千四耶！！天哪這真是有緣的包包～,2026-04-26 8:19:35,2026-04-26 8:19:35
ev00110,att0097,Comodi IIDA Hirai,5,15,,2026-04-26 8:25:25,2026-04-26 8:25:25
ev00108,att0165,平井家民宿,5,16,,2026-04-26 8:19:46,2026-04-26 8:19:46
ev00028,att0166,今天的主題是,6,1,第六天主題：要回家啦～,2026-04-10 21:56:54,2026-04-10 21:56:54
ev00109,att0109,江戸川平井郵便局,6,2,最後把明信片寄出～～,2026-04-26 8:20:08,2026-04-26 8:20:08
ev00111,att0240,Tobu Hotel Levant Tokyo,6,3,"有趣的奇遇記，因為沒準備機場交通方式，我們選擇搭計程車到錦糸町的飯店搭乘利木津巴士，一早的司機是會講英文的，服務超級好，還會問車上冷氣溫度ＯＫ嗎？
就是...一分錢一分貨吧，短短十分多鐘的路程，車費超～貴，算省住宿費的代價吧～～",2026-04-26 8:26:16,2026-04-26 8:26:16
ev00112,att0241,東京國際機場(羽田機場),6,4,"搭著利木津巴士，順利的到了羽田，我們提早快四個小時到機場，但是機場蠻好逛的，於是我們拉著行李進行深度羽田逛街，哈哈哈

回程坐到很新的長榮飛機，硬體設備非常先進，空姐服務也很好，聽到熟悉的繁體中文，真是感人，有要回家的感覺～～～飛機餐也非常好吃，劃下完美的句點～",2026-04-26 8:26:16,2026-04-26 8:26:16
